# Generated: 2021:12:20 08:09:41
#
# Start CSV parsing at the line after the "##".
#
##
Holiday Name,Date
Martin Luther King Jr. Day,2022-01-17
Presidents' Day,2022-02-21
Good Friday,2022-04-15
Memorial Day,2022-05-30
Juneteenth Holiday,2022-06-20
Independence Day,2022-07-04
Labor Day,2022-09-05
Thanksgiving Day,2022-11-24
Thanksgiving Early Close,2022-11-25
Christmas Day Observed,2022-12-26
New Year's Day,2021-01-01
Martin Luther King Jr. Day,2021-01-18
Presidents' Day,2021-02-15
Good Friday,2021-04-02
Memorial Day,2021-05-31
Independence Day Observed,2021-07-05
Labor Day,2021-09-06
Thanksgiving Day,2021-11-25
Thanksgiving Early Close,2021-11-26
Christmas Day Observed,2021-12-24
