Symbol,Strike,Premium,Delta,IV,# Contracts,Profit
MRK,67.0000,0.010000,-0.009629,0.466889,1,1.0
MDLZ,58.0000,0.010000,-0.011486,0.446784,1,1.0
MDLZ,59.0000,0.010000,-0.013598,0.371030,1,1.0
YNDX,55.0000,0.010000,-0.009187,0.582932,2,2.0
GSK,41.0000,0.010000,-0.025962,0.265722,2,2.0
GSK,40.0000,0.010000,-0.018675,0.384099,2,2.0
MPC,55.0000,0.010000,-0.008721,0.612498,2,2.0
OKE,52.5000,0.010000,-0.009318,0.599039,2,2.0
PHM,49.0000,0.010000,-0.012407,0.482078,2,2.0
PHM,48.0000,0.010000,-0.010601,0.572730,2,2.0
RVLV,50.0000,0.010000,-0.008032,0.718621,2,2.0
TAP,42.5000,0.010000,-0.016606,0.409573,2,2.0
TAP,40.0000,0.010000,-0.010457,0.680738,2,2.0
CPB,41.0000,0.010000,-0.024316,0.284895,2,2.0
CSX,34.0000,0.010000,-0.025616,0.321661,3,3.0
CSX,33.0000,0.010000,-0.018419,0.464791,3,3.0
FOXA,34.0000,0.010000,-0.025018,0.329772,3,3.0
FOXA,33.0000,0.010000,-0.018120,0.472506,3,3.0
CAG,30.0000,0.010000,-0.020753,0.449313,3,3.0
CAG,31.0000,0.010000,-0.030810,0.288474,3,3.0
WY,36.0000,0.010000,-0.018645,0.424024,3,3.0
WMB,25.0000,0.010000,-0.045302,0.233148,4,4.0
MRK,68.0000,0.040000,-0.031255,0.497233,1,4.0
MRK,67.5000,0.040000,-0.029290,0.534817,1,4.0
MOS,28.0000,0.010000,-0.007860,1.179596,4,4.0
WMB,24.0000,0.010000,-0.025701,0.443190,4,4.0
MOS,27.0000,0.010000,-0.007003,1.334238,4,4.0
PSTH,19.5000,0.010000,-0.103937,0.115181,5,5.0
DBX,21.0000,0.010000,-0.017837,0.717589,5,5.0
EPD,19.5000,0.010000,-0.033992,0.401630,5,5.0
WB,20.0000,0.010000,-0.006677,1.728099,5,5.0
WB,22.5000,0.010000,-0.009260,1.220773,5,5.0
WMB,23.0000,0.010000,-0.018254,0.648195,5,5.0
PSTH,19.0000,0.010000,-0.050438,0.269414,6,6.0
PACB,18.0000,0.010000,-0.018038,0.811052,6,6.0
M,19.0000,0.010000,-0.008499,1.489973,6,6.0
VZ,48.0000,0.030000,-0.044652,0.361868,2,6.0
UA,18.0000,0.010000,-0.040652,0.358203,6,6.0
GOLD,16.5000,0.010000,-0.032432,0.491926,6,6.0
PSTH,18.5000,0.010000,-0.034737,0.412312,6,6.0
EGHT,15.0000,0.010000,-0.024335,0.713852,7,7.0
CSTM,15.5000,0.010000,-0.032156,0.525352,7,7.0
MAT,15.0000,0.010000,-0.010529,1.500262,7,7.0
MAT,16.0000,0.010000,-0.012881,1.208539,7,7.0
HBI,15.0000,0.010000,-0.027141,0.641535,7,7.0
MRVL,79.0000,0.070000,-0.043507,0.514111,1,7.000000000000001
WW,14.0000,0.010000,-0.021793,0.842037,8,8.0
HBI,14.0000,0.010000,-0.018520,0.978488,8,8.0
MO,43.0000,0.040000,-0.058062,0.396199,2,8.0
STNE,14.0000,0.010000,-0.021554,0.850769,8,8.0
GILD,68.0000,0.080000,-0.088895,0.309171,1,8.0
SO,63.0000,0.080000,-0.079717,0.375505,1,8.0
TSN,80.0000,0.080000,-0.050933,0.487268,1,8.0
MPC,56.0000,0.040000,-0.028176,0.657340,2,8.0
VOD,14.0000,0.010000,-0.036794,0.502084,8,8.0
MAT,14.0000,0.010000,-0.008835,1.807239,8,8.0
NNOX,14.0000,0.010000,-0.019430,0.936646,8,8.0
AGNC,14.0000,0.010000,-0.035621,0.519017,8,8.0
OPEN,12.0000,0.010000,-0.023930,0.879601,9,9.0
CYH,12.0000,0.010000,-0.037777,0.562221,9,9.0
MOS,29.0000,0.030000,-0.020650,1.202614,3,9.0
EGHT,12.5000,0.010000,-0.011783,1.572184,9,9.0
GLW,34.0000,0.030000,-0.042535,0.524237,3,9.0
NOV,12.0000,0.010000,-0.031705,0.670636,9,9.0
VALE,12.5000,0.010000,-0.036113,0.567350,9,9.0
VTRS,12.0000,0.010000,-0.047063,0.447503,9,9.0
MPC,57.0000,0.050000,-0.037676,0.590547,2,10.0
M,20.0000,0.020000,-0.016827,1.394784,5,10.0
CYH,11.0000,0.010000,-0.022429,1.004771,10,10.0
DB,11.0000,0.010000,-0.032649,0.703538,10,10.0
NOV,11.0000,0.010000,-0.020187,1.104847,10,10.0
MRO,10.5000,0.010000,-0.010935,1.890569,10,10.0
SO,64.0000,0.100000,-0.118105,0.293332,1,10.0
CL,80.0000,0.100000,-0.113208,0.248474,1,10.0
T,20.0000,0.020000,-0.036013,0.694738,5,10.0
MDLZ,60.0000,0.100000,-0.083891,0.458348,1,10.0
VTRS,11.5000,0.010000,-0.032741,0.674629,10,10.0
RAD,11.0000,0.010000,-0.034282,0.670414,10,10.0
MRO,11.0000,0.010000,-0.012239,1.677566,10,10.0
BMY,58.0000,0.110000,-0.144860,0.278387,1,11.0
MRVL,80.0000,0.110000,-0.066752,0.490706,1,11.0
MDT,106.0000,0.110000,-0.064132,0.394166,1,11.0
MGM,37.0000,0.040000,-0.038089,0.704157,3,12.0
TSN,82.5000,0.120000,-0.097340,0.341672,1,12.0
XOM,59.0000,0.120000,-0.112370,0.399327,1,12.0
VZ,49.0000,0.060000,-0.096807,0.291679,2,12.0
AGNC,14.5000,0.020000,-0.083448,0.385888,7,14.0
MET,57.0000,0.070000,-0.061642,0.481272,2,14.000000000000002
MET,58.0000,0.140000,-0.115701,0.454146,1,14.000000000000002
MO,44.0000,0.070000,-0.117000,0.301734,2,14.000000000000002
BILI,45.0000,0.070000,-0.034973,1.046138,2,14.000000000000002
C,58.0000,0.150000,-0.124650,0.445457,1,15.0
T,21.0000,0.030000,-0.071961,0.468991,5,15.0
EBAY,63.0000,0.150000,-0.119391,0.432655,1,15.0
MCHP,79.0000,0.150000,-0.075639,0.578215,1,15.0
EPD,20.0000,0.030000,-0.098994,0.345147,5,15.0
ADM,63.0000,0.150000,-0.152963,0.324952,1,15.0
M,21.0000,0.030000,-0.026836,1.239654,5,15.0
VIAC,27.5000,0.040000,-0.062648,0.552852,4,16.0
TJX,70.0000,0.160000,-0.121951,0.406432,1,16.0
CIEN,71.0000,0.160000,-0.121022,0.404456,1,16.0
GSK,42.0000,0.080000,-0.161394,0.245788,2,16.0
OKE,55.0000,0.080000,-0.060922,0.569295,2,16.0
MU,78.0000,0.160000,-0.084600,0.550654,1,16.0
PHM,50.0000,0.080000,-0.066165,0.569489,2,16.0
GILD,69.0000,0.170000,-0.181013,0.274644,1,17.0
NCLH,17.0000,0.030000,-0.035177,1.155785,6,18.0
AZN,52.5000,0.090000,-0.109590,0.349225,2,18.0
MRVL,81.0000,0.190000,-0.107502,0.479908,1,19.0
BMY,57.5000,0.100000,-0.116416,0.330425,2,20.0
MET,57.5000,0.100000,-0.085257,0.468572,2,20.0
TPR,40.0000,0.100000,-0.101631,0.541826,2,20.0
CAH,47.0000,0.100000,-0.118666,0.391681,2,20.0
MDT,107.0000,0.200000,-0.105774,0.394721,1,20.0
SO,65.0000,0.200000,-0.239585,0.241000,1,20.0
CL,81.0000,0.200000,-0.224929,0.210482,1,20.0
DBX,22.0000,0.040000,-0.065512,0.646347,5,20.0
SYY,71.0000,0.200000,-0.150578,0.388805,1,20.0
SYF,44.0000,0.100000,-0.093269,0.544747,2,20.0
MS,93.0000,0.210000,-0.094562,0.533415,1,21.0
VOD,14.5000,0.030000,-0.111777,0.408262,7,21.0
PM,89.0000,0.210000,-0.143165,0.348215,1,21.0
BSX,38.0000,0.070000,-0.073900,0.576335,3,21.000000000000004
GLW,35.0000,0.070000,-0.100341,0.446197,3,21.000000000000004
MGM,38.0000,0.070000,-0.067789,0.631297,3,21.000000000000004
WBA,47.5000,0.110000,-0.129673,0.383609,2,22.0
MCHP,80.0000,0.230000,-0.110736,0.561387,1,23.0
SHAK,65.0000,0.230000,-0.084489,0.901862,1,23.0
RTX,81.0000,0.230000,-0.163112,0.356692,1,23.0
XOM,60.0000,0.230000,-0.206697,0.358177,1,23.0
MU,79.0000,0.240000,-0.122827,0.526757,1,24.0
WY,37.0000,0.080000,-0.104807,0.457420,3,24.0
OXY,26.0000,0.060000,-0.067423,0.777163,4,24.0
GOLD,17.0000,0.040000,-0.110793,0.465370,6,24.0
NCLH,17.5000,0.040000,-0.048810,1.058609,6,24.0
NTR,67.0000,0.250000,-0.176815,0.420872,1,25.0
COP,68.0000,0.250000,-0.163218,0.455764,1,25.0
